movie,type,rating,year,domestic,worldwide,director
Star Wars: Episode I -- The Phantom Menace,Drama,PG,1999,431.1,925.5,G. Lucas
Star Wars: Episode II -- Attack of the Clones,Drama,PG,2002,310.7,648.3,G. Lucas
Stir Crazy,Comedy,R,1980,101.5,101.5,S. Poitier
Stuart Little,Family,PG,1999,140,297.6,R. Minkoff
Superman,Drama,PG,1978,134.2,300.2,R. Donner
Superman II,Drama,PG,1980,108.2,108.2,R. Lester
Sweet Home Alabama,Comedy,PG-13,2002,127.2,149.7,A. Tennant
Tarzan,Family,G,1999,171.1,435.3,C. Buck/K. Lima
Teenage Mutant Ninja Turtles,Family,PG,1990,135.3,202,S. Barron
Terminator 2: Judgment Day,Action,R,1991,204.8,516.8,J. Cameron
Terms of Endearment,Drama,PG,1983,108.4,164.2,J. L. Brooks
The Addams Family,Comedy,PG-13,1991,113.5,191.5,B. Sonnenfeld
The Birdcage,Comedy,R,1996,124,185.2,M. Nichols
The Blair Witch Project,Mystery-Suspense,R,1999,140.5,240.5,D. Myrick/E. Sanchez
The Bodyguard,Action,R,1992,121.9,410.9,M. Jackson
The Bourne Identity,Mystery-Suspense,PG-13,2002,121.5,213.6,D. Liman
The Empire Strikes Back,Drama,PG,1980,290.2,533.9,I. Kershner
The Exorcist,Mystery-Suspense,R,1973,204.7,357.5,W. Friedkin
The Fast and the Furious,Action,PG-13,2001,144.5,206.5,R. Cohen
The Firm,Mystery-Suspense,R,1993,158.3,262.3,S. Pollack
The First Wives Club,Comedy,PG,1996,105.3,181.3,H. Wilson
The Flintstones,Family,PG,1994,130.5,358.5,B. Levant
The Fugitive,Action,PG-13,1993,183.9,368.9,A. Davis
The General's Daughter,Mystery-Suspense,R,1999,102.7,143.3,S. West
The Godfather,Drama,R,1972,134.6,134.8,F. Ford Coppola
The Graduate,Drama,PG,1967,104.4,104.4,M. Nichols
The Green Mile,Drama,R,1999,136.8,268.7,F. Darabont
The Hunchback of Notre Dame,Family,G,1996,100.1,325.7,G. Trousdale/K. Wise
The Hunt for Red October,Action,PG,1990,120.7,199.2,J. McTiernan
The Jungle Book,Family,G,1967,141.8,205.8,W. Reitherman
"The Karate Kid, Part II",Drama,PG,1986,115.1,115.1,J. G. Avildsen
The Lion King,Family,G,1994,312.9,771.9,R. Allers/R. Minkoff
The Little Mermaid,Family,G,1989,111.5,222.3,R. Clements/J. Musker
The Lord of the Rings: The Fellowship of the Ring,Drama,PG-13,2001,313.4,860.3,P. Jackson
The Lord of the Rings: The Two Towers,Drama,PG-13,2002,339,909,P. Jackson
The Lost World,Drama,PG-13,1997,229.1,614.4,S. Spielberg
The Mask,Comedy,PG-13,1994,119.9,320.9,C. Russell
The Matrix,Action,R,1999,171.5,456.5,A. Wachowski/L. Wachowski
The Matrix: Reloaded,Action,R,2003,232.7,389.8,A. Wachowski/L. Wachowski
The Mummy,Drama,PG-13,1999,155.4,413.5,S. Sommers
The Mummy Returns,Drama,PG-13,2001,202,429.5,S. Sommers
The Nutty Professor,Comedy,PG-13,1996,128.8,269.4,T. Shadyac
The Patriot,Drama,R,2000,113.3,215.3,R. Emmerich
The Pelican Brief,Mystery-Suspense,PG-13,1993,100.8,195,A. J. Pakula
The Perfect Storm,Drama,PG-13,2000,182.6,325.8,W. Petersen
The Prince of Egypt,Family,PG,1998,101.2,218.5,B. Chapman/S. Hickner
The Princess Diaries,Family,G,2001,108.2,153.7,G. Marshall
The Ring,Mystery-Suspense,PG-13,2002,128.6,229.2,G. Verbinski
The Rock,Action,R,1996,134.1,330.5,M. Bay
The Rocky Horror Picture Show,Comedy,R,1975,134.2,134.2,J. Sharman
The Rugrats Movie,Family,G,1998,100.5,140.9,I. Kovalyov/N. Virgien
The Santa Clause,Family,PG,1994,144.8,194.8,J. Pasquin
The Santa Clause 2,Family,G,2002,139.2,167.3,M. Lembeck
The Silence of the Lambs,Drama,R,1991,130.7,272.7,J. Demme
The Sixth Sense,Mystery-Suspense,PG-13,1999,293.5,661.5,M. Night Shyamalan
The Sound of Music,Family,G,1965,163.2,163.2,R. Wise
The Sting,Drama,PG,1973,159.6,159.6,G. Roy Hill
The Sum of All Fears,Action,PG-13,2002,118.5,176.2,P. Alden Robinson
The Towering Inferno,Action,PG,1974,116,116,I. Allen/J. Guillermin
The Truman Show,Drama,PG,1998,126.5,248.4,P. Weir
The Waterboy,Comedy,PG-13,1998,161.5,190.2,F. Coraci
The World Is Not Enough,Mystery-Suspense,PG-13,1999,126.9,352,M. Apted
There's Something About Mary,Comedy,R,1998,176.5,360.1,B. Farrelly/P. Farrelly
Three Men and a Baby,Comedy,PG,1987,167.8,167.8,L. Nimoy
Titanic,Drama,PG-13,1997,600.8,1835,J. Cameron
Tomorrow Never Dies,Mystery-Suspense,PG-13,1997,125.3,346.6,R. Spottiswoode
Tootsie,Comedy,PG,1982,177.2,177.2,S. Pollack
Top Gun,Drama,PG,1986,176.8,344.8,T. Scott
Total Recall,Action,R,1990,119.4,261.4,P. Verhoeven
