Movie,Type,Rating,Year,Domestic,Worldwide,Director
The Birdcage,Comedy,R,1996,124.00,185.20,M. Nichols
The Blair Witch Project,Mystery-Suspense,R,1999,140.50,240.50,D. Myrick/E. Sanchez
The Bodyguard,Action,R,1992,121.90,410.90,M. Jackson
The Bourne Identity,Mystery-Suspense,PG-13,2002,121.50,213.60,D. Liman
The Empire Strikes Back,Drama,PG,1980,290.20,533.90,I. Kershner
The Exorcist,Mystery-Suspense,R,1973,204.70,357.50,W. Friedkin
The Fast and the Furious,Action,PG-13,2001,144.50,206.50,R. Cohen
The Firm,Mystery-Suspense,R,1993,158.30,262.30,S. Pollack
The First Wives Club,Comedy,PG,1996,105.30,181.30,H. Wilson
The Flintstones,Family,PG,1994,130.50,358.50,B. Levant
The Fugitive,Action,PG-13,1993,183.90,368.90,A. Davis
The General's Daughter,Mystery-Suspense,R,1999,102.70,143.30,S. West
The Godfather,Drama,R,1972,134.60,134.80,F. Ford Coppola
The Graduate,Drama,PG,1967,104.40,104.40,M. Nichols
The Green Mile,Drama,R,1999,136.80,268.70,F. Darabont
The Hunchback of Notre Dame,Family,G,1996,100.10,325.70,G. Trousdale/K. Wise
The Hunt for Red October,Action,PG,1990,120.70,199.20,J. McTiernan
The Jungle Book,Family,G,1967,141.80,205.80,W. Reitherman
"The Karate Kid, Part II",Drama,PG,1986,115.10,115.10,J. G. Avildsen
The Lion King,Family,G,1994,312.90,771.90,R. Allers/R. Minkoff
The Little Mermaid,Family,G,1989,111.50,222.30,R. Clements/J. Musker
The Lord of the Rings: The Fellowship of the Ring,Drama,PG-13,2001,313.40,860.30,P. Jackson
The Lord of the Rings: The Two Towers,Drama,PG-13,2002,339.00,909.00,P. Jackson
The Lost World,Drama,PG-13,1997,229.10,614.40,S. Spielberg
The Mask,Comedy,PG-13,1994,119.90,320.90,C. Russell
The Matrix,Action,R,1999,171.50,456.50,A. Wachowski/L. Wachowski
The Matrix: Reloaded,Action,R,2003,232.70,389.80,A. Wachowski/L. Wachowski
The Mummy,Drama,PG-13,1999,155.40,413.50,S. Sommers
The Mummy Returns,Drama,PG-13,2001,202.00,429.50,S. Sommers
The Nutty Professor,Comedy,PG-13,1996,128.80,269.40,T. Shadyac
The Patriot,Drama,R,2000,113.30,215.30,R. Emmerich
The Pelican Brief,Mystery-Suspense,PG-13,1993,100.80,195.00,A. J. Pakula
The Perfect Storm,Drama,PG-13,2000,182.60,325.80,W. Petersen
The Prince of Egypt,Family,PG,1998,101.20,218.50,B. Chapman/S. Hickner
The Princess Diaries,Family,G,2001,108.20,153.70,G. Marshall
The Ring,Mystery-Suspense,PG-13,2002,128.60,229.20,G. Verbinski
The Rock,Action,R,1996,134.10,330.50,M. Bay
The Rocky Horror Picture Show,Comedy,R,1975,134.20,134.20,J. Sharman
The Rugrats Movie,Family,G,1998,100.50,140.90,I. Kovalyov/N. Virgien
The Santa Clause,Family,PG,1994,144.80,194.80,J. Pasquin
The Santa Clause 2,Family,G,2002,139.20,167.30,M. Lembeck
The Silence of the Lambs,Drama,R,1991,130.70,272.70,J. Demme
The Sixth Sense,Mystery-Suspense,PG-13,1999,293.50,661.50,M. Night Shyamalan
The Sound of Music,Family,G,1965,163.20,163.20,R. Wise
The Sting,Drama,PG,1973,159.60,159.60,G. Roy Hill
The Sum of All Fears,Action,PG-13,2002,118.50,176.20,P. Alden Robinson
